Student_ID,Date,Subject,Topic,Study_Duration_Min,Difficulty_1_5,Study_Method,Initial_Score,Revision_Count,Days_Since_Study,Later_Score,Focus_Level_1_5,Retention_Score,Retention_Risk
S00770,2026-02-06,Deep Learning,Regularization,49,3,Practice,55.5,0,10,40.9,1,73.7,High
S07469,2026-01-09,Deep Learning,Neural Networks,57,2,Practice,71.9,0,10,57.4,2,79.8,Medium
S07800,2026-07-01,Agile,Planning,62,1,Practice,85.4,0,1,76.6,3,89.6,Medium
S08353,2026-03-29,Agile,Development,52,4,Reading,79.8,0,2,74.2,4,92.9,Low
S00889,2026-08-26,IoT,Sensors,38,3,Mixed,85.2,0,10,72.6,4,85.1,Medium
S02838,2026-07-06,Agile,Testing,49,2,Video,88.1,0,3,86.0,5,97.7,Low
S01717,2026-03-13,IoT,Sensors,62,2,Practice,77.1,2,1,81.2,3,100.0,Low
S02597,2026-02-07,C,Pointers,64,3,Video,61.6,0,2,57.1,3,92.8,Low
S03771,2026-07-09,Deep Learning,Neural Networks,57,5,Mixed,63.1,3,7,57.1,2,90.4,Low
S06348,2026-03-12,Deep Learning,RNN,58,5,Flashcards,75.4,2,7,73.3,3,97.3,Low
S03595,2026-01-12,IoT,Protocols,15,2,Video,77.4,0,7,68.2,2,88.1,Medium
S07416,2026-03-10,IoT,MQTT,62,3,Video,64.1,3,14,56.3,3,87.7,Medium
S01090,2026-01-31,Agile,Planning,69,1,Practice,85.3,2,2,96.7,3,100.0,Low
S05316,2026-02-04,Deep Learning,RNN,44,1,Reading,88.2,2,10,90.7,4,100.0,Low
S04993,2026-08-23,DBMS,ER Model,32,1,Video,84.4,0,1,79.8,3,94.5,Low
S04825,2026-08-21,Python,Lists,60,3,Practice,79.6,1,3,76.0,4,95.4,Low
S09565,2026-03-22,IoT,Protocols,20,4,Mixed,58.5,0,10,41.2,4,70.4,High
S04685,2026-01-21,DBMS,Normalization,50,2,Video,78.4,2,5,82.3,4,100.0,Low
S08849,2026-06-08,Agile,Testing,40,2,Video,63.2,1,2,63.4,4,100.0,Low
S04994,2026-06-02,Deep Learning,Neural Networks,50,1,Mixed,63.7,4,3,73.2,1,100.0,Low
S05879,2026-03-25,IoT,Protocols,39,5,Practice,57.3,1,10,52.1,4,90.9,Low
S01311,2026-04-05,Deep Learning,CNN,39,5,Video,78.7,3,1,75.1,4,95.4,Low
S02796,2026-04-14,Python,Variables,48,4,Practice,49.4,2,2,50.8,2,100.0,Low
S02677,2026-04-08,C,Functions,72,2,Flashcards,84.6,1,7,80.2,1,94.8,Low
S03161,2026-07-19,C,Strings,55,5,Video,59.0,2,2,52.6,3,89.3,Medium
S07525,2026-05-03,IoT,Actuators,40,4,Video,79.9,0,14,59.3,4,74.3,High
S05036,2026-01-30,IoT,Architecture,20,3,Practice,63.4,0,10,50.7,4,80.1,Medium
S01225,2026-07-09,Deep Learning,Backpropagation,31,2,Video,79.8,1,14,75.0,5,93.9,Low
S07130,2026-07-03,Python,Lists,54,5,Practice,58.7,0,10,39.6,3,67.5,High
S01980,2026-02-18,Python,Variables,22,3,Practice,64.7,1,2,66.6,3,100.0,Low
S09012,2026-06-25,IoT,Protocols,43,5,Mixed,60.8,3,3,63.0,5,100.0,Low
S09758,2026-03-11,DBMS,Transactions,32,4,Reading,74.7,0,7,61.6,2,82.5,Medium
S07294,2026-04-20,C,Pointers,72,2,Practice,73.2,1,14,65.9,3,90.2,Low
S02170,2026-03-06,Agile,Testing,41,2,Mixed,80.0,3,5,87.4,4,100.0,Low
S07153,2026-01-19,DBMS,SQL,62,5,Mixed,57.6,1,1,52.5,3,91.1,Low
S06691,2026-05-23,C,Pointers,18,5,Video,41.6,1,10,36.4,2,87.5,Medium
S09005,2026-07-01,Deep Learning,Regularization,36,5,Flashcards,55.5,0,1,47.8,3,86.2,Medium
S03365,2026-04-29,IoT,Actuators,15,4,Reading,67.4,2,3,59.7,3,88.5,Medium
S07523,2026-05-06,C,Strings,57,1,Mixed,63.0,2,10,65.8,3,100.0,Low
S04326,2026-06-01,Deep Learning,CNN,31,2,Video,62.6,0,10,53.0,5,84.7,Medium
S01272,2026-08-11,C,Arrays,63,1,Mixed,97.2,0,5,84.8,4,87.2,Medium
S02446,2026-01-06,Deep Learning,Regularization,54,4,Practice,80.4,3,3,87.3,3,100.0,Low
S08162,2026-07-03,Deep Learning,Backpropagation,59,4,Mixed,59.6,2,5,47.0,2,78.7,Medium
S06531,2026-03-23,Agile,Requirements,67,4,Mixed,79.8,0,3,67.2,3,84.2,Medium
S01708,2026-05-22,DBMS,Normalization,53,1,Practice,75.1,0,10,69.2,3,92.1,Low
S04969,2026-08-22,Deep Learning,Backpropagation,42,3,Video,50.6,3,1,57.3,3,100.0,Low
S02742,2026-03-12,C,Strings,62,4,Mixed,78.8,2,5,73.9,3,93.8,Low
