Feature,Importance
remainder__Days_Since_Study,0.20825725357658234
remainder__Initial_Score,0.16754638816368522
remainder__Revision_Count,0.1536429248593613
remainder__Study_Duration_Min,0.11054658995200711
remainder__Difficulty_1_5,0.09289330864546305
remainder__Focus_Level_1_5,0.04582409822789316
categorical__Study_Method_Practice,0.013630249167981405
categorical__Study_Method_Mixed,0.013496704086872011
categorical__Study_Method_Reading,0.012604416899804329
categorical__Study_Method_Video,0.010844041342320806
categorical__Study_Method_Flashcards,0.009445684250919077
categorical__Subject_C,0.007304527933952056
categorical__Subject_Python,0.007131159151115313
categorical__Subject_Deep Learning,0.006871316531358469
categorical__Subject_IoT,0.0067172002397678215
